"Symbol","ListedDate","ReturnRate"
"000583","1995-11-01","1.485714"
"000584","1995-11-28","6.310000"
"000585","1995-12-13","0.140385"
"000586","1995-12-20","-0.962250"
"000587","1996-04-25","11.100000"
"000588","1996-01-23","-0.153073"
"000589","1996-03-08","0.095556"
"000590","1996-01-19","-0.061667"
"000591","1996-02-08","3.020000"
"000592","1996-03-27","0.157044"
"000593","1996-03-12","1.144000"
"000594","1996-03-20","10.050000"
"000595","1996-04-19","1.144578"
"000596","1996-09-27","1.712264"
"000597","1996-05-23","0.019461"
"000598","1996-05-29","0.220339"
"000599","1996-04-30","0.500000"
"000600","1996-06-06","1.128302"
"000601","1996-08-30","0.869767"
"000602","1996-08-19","0.915989"
"000603","1996-08-23","0.693767"
"000605","1996-09-13","1.550000"
"000606","1996-10-04","0.911628"
"000607","1996-08-30","1.250000"
"000608","1996-09-19","1.112195"
"000609","1996-10-10","1.353333"
"000610","1996-09-26","1.289474"
"000611","1996-10-08","0.635802"
"000612","1996-09-26","0.658824"
"000613","1997-01-28","2.921875"
"000615","1996-10-16","1.179487"
"000616","1996-11-08","1.400000"
"000617","1996-10-22","2.375598"
"000618","1996-10-15","2.057143"
"000619","1996-10-23","1.630952"
"000620","1996-10-29","1.675676"
"000621","1996-11-05","2.147059"
"000622","1996-11-07","1.341137"
"000623","1996-10-28","2.084722"
"000625","1997-06-10","0.957547"
"000626","1996-11-28","3.407216"
"000627","1996-11-12","1.666667"
"000628","1996-11-18","1.132196"
"000629","1996-11-15","2.878378"
"000630","1996-11-20","1.714286"
"000631","1996-11-22","1.514327"
"000632","1996-11-21","2.600000"
"000633","1996-11-12","12.850000"
"000635","1996-11-20","2.277778"
"000636","1996-11-29","1.811765"
"000637","1996-11-14","20.611570"
"000638","1996-11-26","1.286396"
"000639","1996-11-26","13.380000"
"000650","1996-12-10","2.562300"
"000651","1996-11-18","19.000000"
"000652","1996-11-28","4.089286"
"000653","1996-11-26","1.568182"
"000655","1996-11-28","17.900000"
"000656","1996-11-28","-0.865100"
"000657","1996-12-05","3.412371"
"000658","1996-12-18","1.125894"
"000659","1996-12-03","27.850000"
"000660","1996-12-09","2.036993"
"000661","1996-12-18","1.101136"
"000662","1996-12-16","1.391026"
"000663","1996-12-06","3.360000"
"000665","1996-12-10","21.980000"
"000666","1996-12-10","3.488889"
"000667","1996-12-05","21.180000"
"000668","1996-12-10","21.800000"
"000669","1996-12-10","3.576087"
"000670","1996-12-17","9.060000"
"000671","1996-12-18","11.880000"
"000672","1996-12-18","11.170000"
"000673","1997-01-24","1.246154"
"000675","1996-12-26","13.400000"
"000676","1996-12-24","1.451923"
"000677","1996-12-26","-0.866400"
"000678","1997-01-06","1.180680"
"000679","1997-01-24","0.727551"
"000680","1997-01-22","1.163551"
"000681","1997-01-21","1.784906"
"000682","1997-01-21","1.187817"
"000683","1997-01-31","1.289628"
"000685","1997-01-23","1.372404"
"000686","1997-02-27","1.305643"
"000687","1997-02-21","1.203175"
"000688","1997-01-20","2.054656"
"000689","1996-12-31","1.743553"
"000690","1997-01-28","1.395480"
"000691","1997-02-28","1.827642"
"000692","1997-02-27","1.299258"
"000693","1997-02-26","7.864000"
"000695","1997-02-18","4.100000"
"000697","1997-03-25","3.233613"
"000698","1997-02-20","0.953125"
"000699","1997-03-10","1.631915"
"000700","1997-02-28","-0.781200"
"000701","1997-02-26","1.886978"
"000702","1997-03-18","1.688385"
"000703","1997-03-28","16.190000"
"000705","1997-04-10","2.640449"
"000707","1997-04-15","1.938158"
"000708","1997-03-26","1.288506"
"000709","1997-04-16","0.784165"
"000710","1997-04-22","2.517647"
"000711","1997-04-11","3.838631"
"000712","1997-04-15","1.589286"
"000713","1997-04-22","1.789630"
"000715","1997-05-08","1.694667"
"000716","1997-04-18","2.925333"
"000717","1997-05-08","0.943299"
"000718","1997-04-08","1.361240"
"000719","1997-03-31","14.280000"
"000720","1997-05-09","1.913994"
"000721","1997-04-30","3.495238"
"000722","1997-05-22","1.891945"
"000723","1997-05-15","2.684483"
"000725","2001-01-12","0.355357"
"000726","2000-12-25","0.002809"
"000727","1997-05-20","1.284091"
"000728","1997-06-16","0.943056"
"000729","1997-07-16","1.070845"
"000730","1997-05-22","0.952527"
"000731","1997-06-17","2.412429"
"000732","1997-07-04","1.113953"
"000733","1997-07-03","0.855314"
"000735","1997-06-11","1.574713"
"000736","1997-04-25","4.690909"
"000737","1997-04-28","1.964451"
"000738","1997-06-26","0.522222"
"000739","1997-05-09","1.978947"
"000748","1997-07-04","1.857362"
"000750","1997-07-09","1.286123"
"000751","1997-06-26","0.617251"
"000752","1997-06-25","3.890533"
"000753","1997-06-26","1.910256"
"000755","1997-06-27","0.414414"
"000756","1997-08-06","2.486957"
"000757","1997-06-27","1.011309"
"000758","1997-04-16","1.503769"
"000759","1997-05-19","1.464762"
"000760","1997-06-27","22.290000"
"000761","1998-01-15","0.320370"
"000762","1997-07-08","1.071014"
"000763","1997-09-15","0.836134"
"000765","1997-11-03","14.940000"
"000766","1997-04-30","2.661134"
"000767","1997-06-09","1.830000"
"000768","1997-06-26","0.975610"
"000769","1997-05-30","1.886470"
"000776","1997-06-11","1.477778"
"000777","1997-07-10","0.699812"
"000778","1997-06-06","1.008163"
"000779","1997-05-28","1.752727"
"000780","1997-06-06","1.727915"
"000782","1997-06-19","1.039494"
"000783","1997-07-31","0.735144"
"000785","1997-07-11","15.000000"
"000786","1997-06-06","1.620573"
"000787","1997-06-26","1.459519"
"000788","1997-06-16","1.403509"
"000789","1997-09-23","0.669014"
"000790","1998-03-27","38.570000"
"000791","1997-10-14","0.561243"
"000792","1997-09-04","1.227586"
"000793","1997-07-29","0.942509"
"000795","1997-08-08","1.035782"
"000796","1997-07-03","0.422481"
"000797","1997-07-15","1.101190"
"000798","1998-02-12","0.896409"
"000799","1997-07-18","2.811250"
"000800","1997-06-18","1.277941"
"000801","1998-05-06","35.900000"
"000802","1998-01-08","1.927966"
"000803","1998-03-03","8.740000"
"000805","1998-05-29","12.170000"
"000806","1998-04-16","3.633446"
"000807","1998-04-08","0.685714"
"000809","1998-06-16","9.060000"
"000810","1998-06-02","13.940000"
"000811","1998-05-28","-0.799909"
"000812","1998-06-23","3.193916"
"000813","1998-05-19","1.971554"
"000815","1998-06-09","0.818182"
"000816","1997-08-18","0.350939"
"000817","1998-05-28","0.512953"
"000818","1997-10-17","0.402536"
"000819","1997-06-25","-0.651500"
"000820","1998-06-30","1.081585"
"000821","1998-06-26","1.359948"
"000822","1998-07-03","0.372849"
"000823","1997-10-08","0.804829"
"000825","1998-10-21","0.020833"
"000826","1998-02-25","1.090150"
"000827","1998-10-16","12.025510"
"000828","1997-06-17","0.758710"
"000829","1997-12-02","1.326000"
"000830","1998-08-07","0.837386"
"000831","1998-09-11","0.652605"
"000832","1998-08-25","0.589255"
"000833","1998-11-11","0.878049"
"000835","1999-06-25","8.302144"
"000836","1997-09-29","1.777778"
"000837","1998-09-28","1.189840"
"000838","1997-06-26","7.700000"
"000839","1997-10-31","2.598025"
"000848","1997-11-13","2.420290"
"000850","1998-10-07","0.909931"
"000851","1998-06-09","1.512397"
"000852","1998-11-26","1.353684"
"000856","1998-08-13","1.078212"
"000858","1998-04-27","2.626947"
"000859","1998-11-19","1.490722"
"000860","1998-11-04","1.340678"
"000861","1998-10-28","2.774566"
"000862","1998-09-15","1.063655"
"000863","1997-09-25","1.272414"
"000866","1998-05-12","0.335714"
"000868","1997-07-25","1.079086"
"000869","2000-10-26","0.406500"
"000875","2002-09-26","0.366446"
"000876","1998-03-11","1.463768"
"000877","1999-01-07","1.215501"
"000878","1998-06-02","0.330671"
"000880","1998-04-02","1.540859"
"000881","1998-09-02","0.867143"
"000882","1998-06-16","2.090625"
"000883","1998-05-19","1.199060"
"000885","1999-03-19","0.322034"
"000886","1998-01-23","1.197635"
"000887","1998-12-03","1.095808"
"000888","1997-10-21","1.357988"
"000889","1997-12-18","1.187831"
"000890","1999-01-19","0.589063"
"000892","1999-01-15","0.770000"
"000893","1998-12-24","1.008869"
"000895","1998-12-10","0.883013"
"000897","1999-04-22","0.597849"
"000898","1997-12-25","0.302564"
"000899","1997-11-26","0.639769"
"000900","1999-01-28","0.301435"
"000901","1999-04-01","1.604839"
"000902","1999-04-08","0.729387"
"000903","1999-04-15","0.304012"
"000905","1999-04-29","0.265823"
"000906","1999-07-07","2.067391"
"000908","1999-02-03","0.416235"
"000909","1999-05-07","1.362934"
"000910","1999-06-30","1.208000"
"000911","1999-05-27","0.700713"
"000912","1999-06-03","0.128763"
"000913","1999-05-14","0.135688"
"000915","1999-06-09","1.709402"
"000916","1999-09-27","0.510471"
"000917","1999-03-25","1.068627"
"000918","1999-07-20","1.607143"
"000919","1999-11-18","0.788095"
"000920","1999-06-16","1.084685"
"000921","1999-07-13","1.004008"
"000922","1999-06-18","1.796188"
"000923","1999-07-14","1.819892"
"000925","1999-06-11","2.545122"
"000926","1999-06-18","1.403315"
"000927","1999-07-27","0.296667"
